이름,수면 패턴 시간,수면 패턴 주기
A,59,1
A,64,1
A,60,1
A,65,1
A,58,1
A,90,1
A,85,1
A,67,1
A,66,1
A,61,1
A,65,1
A,60,1
A,60,1
A,66,1
A,60,1
A,62,1
A,64,1
A,58,1
A,65,1
A,110,1
A,143,2
A,155,2
A,155,2
A,150,2
A,141,2
A,162,2
A,138,2
A,156,2
A,195,2
A,165,2
A,175,2
A,210,2
A,146,2
A,144,2
A,148,2
A,150,2
A,145,2
A,145,2
A,160,2
A,155,2
A,180,3
A,196,3
A,200,3
A,185,3
A,207,3
A,210,3
A,185,3
A,195,3
A,190,3
A,188,3
A,202,3
A,196,3
A,190,3
A,190,3
A,194,3
A,188,3
A,190,3
A,192,3
A,175,3
A,200,3
A,305,4
A,210,4
A,245,4
A,238,4
A,255,4
A,250,4
A,245,4
A,240,4
A,252,4
A,247,4
A,244,4
A,238,4
A,240,4
A,234,4
A,197,4
A,305,5
A,362,5
A,330,5
A,324,5
A,315,5
A,316,5
A,308,5
A,312,5
A,372,6
A,376,6
A,362,6
A,384,6
A,352,6
A,368,6
A,452,7
A,468,7
A,447,7
A,455,7
A,450,7
A,452,7
A,540,8
A,520,8
A,512,8
A,516,8
A,518,8
B,98,1
B,105,1
B,94,1
B,95,1
B,55,1
B,95,1
B,87,1
B,90,1
B,87,1
B,90,1
B,93,1
B,90,1
B,75,1
B,90,1
B,90,1
B,108,1
B,95,1
B,90,1
B,134,1
B,86,1
B,96,1
B,90,1
B,93,1
B,98,1
B,210,2
B,184,2
B,175,2
B,180,2
B,182,2
B,175,2
B,172,2
B,180,2
B,185,2
B,182,2
B,178,2
B,170,2
B,178,2
B,180,2
B,175,2
B,179,2
B,168,2
B,183,2
B,180,2
B,182,2
B,186,2
B,173,2
B,181,2
B,177,2
B,270,3
B,275,3
B,268,3
B,285,3
B,270,3
B,270,3
B,275,3
B,274,3
B,270,3
B,269,3
B,264,3
B,275,3
B,268,3
B,283,3
B,312,3
B,260,3
B,268,3
B,272,3
B,280,3
B,260,3
B,275,3
B,269,3
B,380,4
B,372,4
B,375,4
B,362,4
B,355,4
B,350,4
B,360,4
B,364,4
B,360,4
B,366,4
B,365,4
B,360,4
B,352,4
B,362,4
B,361,4
B,363,4
B,358,4
B,355,4
B,452,5
B,460,5
B,448,5
B,450,5
B,455,5
B,457,5
B,450,5
B,550,6
B,547,6
B,544,6
B,552,6
B,538,6
C,74,1
C,77,1
C,77,1
C,77,1
C,75,1
C,82,1
C,65,1
C,70,1
C,78,1
C,74,1
C,66,1
C,78,1
C,79,1
C,69,1
C,83,1
C,75,1
C,72,1
C,137,2
C,155,2
C,161,2
C,152,2
C,148,2
C,151,2
C,149,2
C,153,2
C,147,2
C,155,2
C,150,2
C,163,2
C,156,2
C,150,2
C,132,2
C,150,2
C,250,3
C,225,3
C,216,3
C,224,3
C,230,3
C,240,3
C,220,3
C,223,3
C,227,3
C,220,3
C,225,3
C,227,3
C,229,3
C,218,3
C,208,3
C,198,3
C,280,4
C,320,4
C,330,4
C,300,4
C,305,4
C,290,4
C,298,4
C,295,4
C,308,4
C,302,4
C,290,4
C,307,4
C,310,4
C,300,4
C,304,4
C,388,5
C,372,5
C,370,5
C,386,5
C,405,5
C,390,5
C,375,5
C,374,5
C,380,5
C,372,5
C,370,5
C,376,5
C,382,5
C,466,6
C,460,6
C,478,6
C,442,6
C,446,6
C,450,6
C,459,6
C,450,6
C,455,6
C,438,6
C,450,6
C,449,6
C,455,6
C,520,7
C,526,7
C,522,7
C,540,7
C,525,7
C,518,7
C,610,8
C,606,8
C,667,8
C,612,8
